Price,Make,Milage,Year,Body_Sytle,City,State
42990,Audi,51699,2018,Convertible,Tampa,FL
30221,Ford,36,2020,Crew Cab Pickup,Spartanburg,SC
19500,Dodge,37426,2019,Minivan,Franklin,TN
66245,Ford,12,2020,Crew Cab Pickup,Dickson City,PA
25060,Kia,0,2020,Sedan,DeLand,FL
8988,Chevrolet,40827,2012,SUV,Willow Spring,NC
39991,Jaguar,37023,2018,Sedan,Jacksonville,FL
3150,Scion,83900,2009,Hatchback,Rochester,NY
21645,Chevrolet,58077,2018,Passenger Van,Huntsville,AL
26358,Kia,2,2021,Sedan,Leesburg,VA
38875,Ford,5,2020,Extended Cab Pickup,Raleigh,NC
13600,Hyundai,29247,2019,Sedan,Bethesda,MD
37369,Toyota,2,2020,Minivan,Greenville,SC
43990,GMC,35477,2018,Crew Cab Pickup,Franklin,TN
29960,Lincoln,21131,2019,SUV,Washington,PA
20851,Jeep,18,2020,SUV,Morehead,KY
32418,Kia,5,2021,Minivan,Raleigh,NC
13990,Kia,31372,2017,Hatchback,Youngstown,OH
40375,Dodge,12,2020,Coupe,Warwick,NY
92882,Land Rover,8597,2020,SUV,Sarasota,FL
10990,Nissan,54057,2013,Sedan,Tampa,FL
31061,Ford,10,2020,Coupe,Columbia,MD
41240,Ford,0,2019,Crew Cab Pickup,Roanoke,VA
24590,Lincoln,18161,2019,Sedan,Miami Springs,FL
37513,Jeep,0,2020,SUV,Birmingham,AL
14590,Honda,81090,2014,Sedan,Knoxville,TN
24990,Honda,24496,2018,Sedan,Dalton,GA
10995,Ford,129040,2014,SUV,Glen Burnie,MD
11590,Ford,101291,2014,Hatchback,Philadelphia,PA
35881,Chrysler,10,2020,Minivan,Orlando,FL
28990,Nissan,15974,2019,SUV,Savannah,GA
42135,GMC,8,2019,SUV,Middle Township,NJ
18990,Nissan,5756,2018,SUV,Atlanta,GA
64350,Acura,5,2020,Sedan,Durham,NC
17500,Honda,15612,2019,Hatchback,Port Richey,FL
28388,Acura,26369,2017,SUV,Ardmore,PA
18280,Nissan,36769,2019,SUV,Melbourne,FL
8990,Volkswagen,114338,2011,Hatchback,Camp Hill,PA
23977,Honda,4544,2019,SUV,Rock Hill,SC
13700,Toyota,51043,2017,Sedan,Berlin,VT
18990,Ford,28641,2018,SUV,Reading,PA
28818.3103,Ford,35,2020,Extended Cab Pickup,Hamburg,PA
25876,Hyundai,5,2020,Sedan,Lilburn,GA
36608,Jeep,171,2020,SUV,Burgaw,NC
28555,Kia,5,2021,SUV,Pensacola,FL
12988,Nissan,99890,2016,SUV,Salisbury,NC
13497,Subaru,73180,2014,SUV,Orlando,FL
20977,Ford,91523,2012,Crew Cab Pickup,Ripley,WV
21450,Ford,7,2020,Cargo Van,Athens,GA
28999,Ford,24690,2017,SUV,Girard,PA
6500,Volvo,139000,2009,Wagon,Riner,VA
29987,Ford,27280,2017,SUV,Beacon,NY
27876,Chrysler,1,2020,Minivan,Cape May Court House,NJ
15995,Chevrolet,154583,2013,Crew Cab Pickup,Edinboro,PA
27990,MINI,1179,2019,Hatchback,Richmond,VA
56995,Porsche,35629,2017,SUV,New York,NY
27223,Hyundai,5,2020,SUV,Schenectady,NY
14999,Mitsubishi,33379,2019,SUV,West Palm Beach,FL
47840,Ford,8,2020,Crew Cab Pickup,Homestead,FL
13950,BMW,73005,2013,Sedan,Fallston,MD
12990,FIAT,44595,2014,Convertible,Columbia,SC
41990,Jeep,20297,2019,SUV,Washington,VA
31655,Hyundai,0,2020,Sedan,Medford,NY
47739,Cadillac,10,2020,SUV,Warren,OH
31790,Jeep,65136,2015,SUV,Chantilly,VA
71814,Chevrolet,17,2020,Crew Cab Pickup,Bradenton,FL
35188,Ford,32290,2017,Crew Cab Pickup,Bristol,TN
40989,Volkswagen,13,2020,SUV,Panama City,FL
12990,Hyundai,22518,2019,Sedan,Orange City,FL
17253,Chevrolet,42951,2017,Sedan,Hubbard,OH
26765,Mitsubishi,23,2019,SUV,Johnson City,TN
19998,Honda,32616,2017,Sedan,Maple Shade Township,NJ
17995,Jeep,27086,2017,SUV,Aberdeen,MD
12990,Honda,97373,2014,Sedan,Vero Beach,FL
12990,Kia,26506,2017,Hatchback,Norfolk,VA
3586,Chevrolet,226919,2002,SUV,Southern Pines,NC
16900,Hyundai,40915,2017,SUV,Rahway,NJ
8995,Hyundai,50432,2014,Sedan,Miami,FL
24590,Jeep,33021,2017,SUV,Dalton,GA
27290,Toyota,6403,2018,SUV,Rochester,NY
40990,Mercedes-Benz,22005,2020,SUV,Coral Springs,FL
54999,Bentley,66500,2010,Convertible,Warminster,PA
37039,Toyota,6,2020,Sedan,Christiansburg,VA
28818.3103,Audi,11,2020,SUV,Bowmansville,NY
17916,Honda,42172,2017,SUV,Rochester,NY
17990,Volvo,54514,2017,SUV,Jacksonville,FL
49494,Chevrolet,12677,2020,SUV,Nottingham,MD
28429,Ford,5,2020,SUV,Corbin,KY
39480,Ford,17204,2017,Crew Cab Pickup,Naples,FL
29195,Ford,10,2020,Sedan,Franklin,KY
59890,Audi,8,2020,SUV,Flushing,NY
15755,Honda,30129,2016,Sedan,Bethlehem,PA
30060,Nissan,4,2020,SUV,Montgomery,AL
9999,Mazda,93590,2015,Sedan,Thomaston,CT
27389,Chevrolet,0,2020,SUV,Lancaster,PA
26040,Nissan,26858,2019,SUV,Williamsburg,VA
29000,Subaru,4921,2020,Sedan,Frederick,MD
23998,Nissan,31504,2016,Sedan,Ellicott City,MD
12998,Subaru,89689,2012,SUV,King of Prussia,PA
24995,Dodge,31933,2015,SUV,Emmaus,PA
13917,Honda,46482,2016,Sedan,Raleigh,NC
26150,Ford,4244,2020,Sedan,Tampa,FL
30440,BMW,36958,2017,Sedan,Miami,FL
